"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"349251986438356994","Mon Jun 24 19:45:37 +0000 2013","0","@MLP_Alicorn_Twi oh hi twilight how r u and the other ponys in ponyville? ^^","349251986438356994","","MLP_Alicorn_Twi","en","Leeds, England","0","2","0","https://x.com/Shelton20_Jack/status/349251986438356994","906748764","Shelton20_Jack"
"349044033647157248","Mon Jun 24 06:06:31 +0000 2013","0","@NerdyPinkie that s great what have you been up to? Did you hear Twilight has a filly now that s interesting she s an Alicorn","349045855346638849","","NerdyPinkie","en","","0","1","0","https://x.com/Bronywho_/status/349045855346638849","1542576176","Bronywho_"
"348985526667329537","Mon Jun 24 02:08:49 +0000 2013","0","@NEligahn @BlameLoomy @TailsTheBard @PhotoPwnee As in Cadance is dead Twilight's not an alicorn and show characters develop differently.","348986036539506688","","NEligahn","en","The Grand Ovation Theater","0","0","0","https://x.com/Grimrubix/status/348986036539506688","614900888","Grimrubix"
"348932366217121793","Sun Jun 23 22:35:33 +0000 2013","0","@MLP_Alicorn_Twi u ok twilight? *looks conserned*","348932366217121793","","MLP_Alicorn_Twi","en","Leeds, England","0","1","0","https://x.com/Shelton20_Jack/status/348932366217121793","906748764","Shelton20_Jack"
"348913737111048192","Sun Jun 23 21:21:32 +0000 2013","0","@MLP_Alicorn_Twi oh hi Twilight how r u?","348913737111048192","","MLP_Alicorn_Twi","en","Leeds, England","0","1","0","https://x.com/Shelton20_Jack/status/348913737111048192","906748764","Shelton20_Jack"
"348828297997742080","Sun Jun 23 18:19:33 +0000 2013","0","@AnnAmazingBELLA @ImFanOfZellaCT you guys do know we can all fly right? Twilight is now an alicorn http://t.co/BqjfDSDnBt","348867939375652866","https://pbs.twimg.com/media/BNdtiuCCIAAl2GO.jpg","AnnAmazingBELLA","en","","0","1","0","https://x.com/leboxkels/status/348867939375652866","478122447","leboxkels"
"348860109105016832","Sun Jun 23 17:48:26 +0000 2013","0","Out of the Mane 6 (minus PP) and the Alicorn Triumvirate's (Princess Twilight already being in the Mane 6) styles of writing I could(cont.)","348860109105016832","","","en","+65","0","0","0","https://x.com/ActOfAttrition/status/348860109105016832","161396125","ActOfAttrition"
"348715534273101824","Sun Jun 23 08:13:56 +0000 2013","0","[how much does anon hate twilight gaining wings?] I started making a shitlist of people who embraced alicorn Twilight with little question","348715534273101824","","","en","","0","0","1","https://x.com/mlp_txt/status/348715534273101824","422175875","mlp_txt"
"348663143020515328","Sun Jun 23 04:45:45 +0000 2013","0","HELP THERES A PONY FIGURE SET WITH ALICORN TWILIGHT AND RARITY AND SPIKE IN A BOW TIE IM GONE","348663143020515328","","","en","pfLUDGERville, Texas","0","1","0","https://x.com/letdahaka/status/348663143020515328","1078687670","letdahaka"
"348651975916781569","Sun Jun 23 04:01:23 +0000 2013","0","Photo: flufffycloud: Alicorn Twilight Sparkle by ~RomaniZ http://t.co/TneBKmNzpc","348651975916781569","","","en","","0","0","0","https://x.com/pico789/status/348651975916781569","363098328","pico789"
